ms_subclass,ms_zoning,lot_frontage,lot_area,street,alley,lot_shape,land_contour,utilities,lot_config,land_slope,neighborhood,condition_1,condition_2,bldg_type,house_style,overall_qual,overall_cond,year_built,year_remod/add,roof_style,roof_matl,exterior_1st,exterior_2nd,mas_vnr_area,exter_qual,exter_cond,foundation,bsmt_qual,bsmt_cond,bsmt_exposure,bsmtfin_type_1,bsmtfin_type_2,total_bsmt_sf,heating,heating_qc,central_air,electrical,gr_liv_area,bsmt_full_bath,bsmt_half_bath,full_bath,half_bath,bedroom_abvgr,kitchen_abvgr,kitchen_qual,totrms_abvgrd,functional,fireplaces,fireplace_qu,garage_yr_blt,garage_cars,paved_drive,wood_deck_sf,open_porch_sf,enclosed_porch,3ssn_porch,screen_porch,pool_area,pool_qc,fence,misc_feature,misc_val,mo_sold,yr_sold,sale_type,sale_condition,saleprice
20,RL,141.0,31770,Pave,No Alley,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1960,1960,Hip,CompShg,BrkFace,Plywood,112.0,TA,TA,CBlock,TA,Gd,Gd,BLQ,Unf,1080.0,GasA,Fa,Y,SBrkr,1656,1.0,0.0,1,0,3,1,TA,7,Typ,2,Gd,1960.0,2.0,P,210,62,0,0,0,0,,,,0,5,2010,WD ,Normal,215000
20,RH,80.0,11622,Pave,No Alley,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Feedr,Norm,1Fam,1Story,5,6,1961,1961,Gable,CompShg,VinylSd,VinylSd,0.0,TA,TA,CBlock,TA,TA,No,Rec,LwQ,882.0,GasA,TA,Y,SBrkr,896,0.0,0.0,1,0,2,1,TA,5,Typ,0,,1961.0,1.0,Y,140,0,0,0,120,0,,MnPrv,,0,6,2010,WD ,Normal,105000
20,RL,81.0,14267,Pave,No Alley,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,6,1958,1958,Hip,CompShg,Wd Sdng,Wd Sdng,108.0,TA,TA,CBlock,TA,TA,No,ALQ,Unf,1329.0,GasA,TA,Y,SBrkr,1329,0.0,0.0,1,1,3,1,Gd,6,Typ,0,,1958.0,1.0,Y,393,36,0,0,0,0,,,Gar2,12500,6,2010,WD ,Normal,172000
20,RL,93.0,11160,Pave,No Alley,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,7,5,1968,1968,Hip,CompShg,BrkFace,BrkFace,0.0,Gd,TA,CBlock,TA,TA,No,ALQ,Unf,2110.0,GasA,Ex,Y,SBrkr,2110,1.0,0.0,2,1,3,1,Ex,8,Typ,2,TA,1968.0,2.0,Y,0,0,0,0,0,0,,,,0,4,2010,WD ,Normal,244000
60,RL,74.0,13830,Pave,No Alley,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,5,5,1997,1998,Gable,CompShg,VinylSd,VinylSd,0.0,TA,TA,PConc,Gd,TA,No,GLQ,Unf,928.0,GasA,Gd,Y,SBrkr,1629,0.0,0.0,2,1,3,1,TA,6,Typ,1,TA,1997.0,2.0,Y,212,34,0,0,0,0,,MnPrv,,0,3,2010,WD ,Normal,189900
60,RL,78.0,9978,Pave,No Alley,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,6,1998,1998,Gable,CompShg,VinylSd,VinylSd,20.0,TA,TA,PConc,TA,TA,No,GLQ,Unf,926.0,GasA,Ex,Y,SBrkr,1604,0.0,0.0,2,1,3,1,Gd,7,Typ,1,Gd,1998.0,2.0,Y,360,36,0,0,0,0,,,,0,6,2010,WD ,Normal,195500
120,RL,41.0,4920,Pave,No Alley,Reg,Lvl,AllPub,Inside,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,2001,2001,Gable,CompShg,CemntBd,CmentBd,0.0,Gd,TA,PConc,Gd,TA,Mn,GLQ,Unf,1338.0,GasA,Ex,Y,SBrkr,1338,1.0,0.0,2,0,2,1,Gd,6,Typ,0,,2001.0,2.0,Y,0,0,170,0,0,0,,,,0,4,2010,WD ,Normal,213500
120,RL,43.0,5005,Pave,No Alley,IR1,HLS,AllPub,Inside,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,1992,1992,Gable,CompShg,HdBoard,HdBoard,0.0,Gd,TA,PConc,Gd,TA,No,ALQ,Unf,1280.0,GasA,Ex,Y,SBrkr,1280,0.0,0.0,2,0,2,1,Gd,5,Typ,0,,1992.0,2.0,Y,0,82,0,0,144,0,,,,0,1,2010,WD ,Normal,191500
120,RL,39.0,5389,Pave,No Alley,IR1,Lvl,AllPub,Inside,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,1995,1996,Gable,CompShg,CemntBd,CmentBd,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,1595.0,GasA,Ex,Y,SBrkr,1616,1.0,0.0,2,0,2,1,Gd,5,Typ,1,TA,1995.0,2.0,Y,237,152,0,0,0,0,,,,0,3,2010,WD ,Normal,236500
60,RL,60.0,7500,Pave,No Alley,Reg,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,7,5,1999,1999,Gable,CompShg,VinylSd,VinylSd,0.0,TA,TA,PConc,TA,TA,No,Unf,Unf,994.0,GasA,Gd,Y,SBrkr,1804,0.0,0.0,2,1,3,1,Gd,7,Typ,1,TA,1999.0,2.0,Y,140,60,0,0,0,0,,,,0,6,2010,WD ,Normal,189000
